Questions,Answers,Intent
How does consuming adequate amount of water help in a safe journey?,The driver should always keep adequate water bottles with him because adequate amount of water in the body prevents fatigue,Hyderated_During_Journey
What should the driver do in case the vehicle's indicators fail?,"In such a situation, adequate use of appropriate hand signals by the driver before turning, stopping or slowing down the vehicle will reduce the chances of any unfortunate incident",Actions_When_Vehicle_Indicators_Fail
What precautions should be taken while boarding or alighting from a commercial vehicle or passenger vehicle?,"Vehicle footboards often become slippery due to accumulation of snow, water or mud. To avoid slips and falls, drivers or passengers should always use at least three points of contact with the vehicle (one arm and two legs, or two arms and one leg) when entering or exiting the vehicle",Precautions_for_Boarding_Alighting_from_Vehicles
How is using weather and traffic maps helpful while travelling?,"Using weather and traffic maps while traveling helps the driver know where road conditions may be unsafe. With their help, they can change the route of their journey as per need and can avoid bad situations",Weather_Traffic_Maps
What is the correct way for a driver to cross an intersection or junction?,A driver should enter an intersection or junction only when he is sure of crossing it completely without stopping. This way he will also prevent T-bone and underride accidents and remain safe himself,Correct_Way_to_Cross_Intersection_or_Junction
What is a blind spot?,A blind spot is an area around your vehicle in which the driver cannot directly see the moving vehicle,Understanding_Blind_Spots
How can accidents caused by blind spots be avoided?,Most accidents caused by blind spots occur when drivers change lanes. Drivers must change lanes by looking over their shoulders and out the windows,Avoiding_Accidents_Caused_by_Blind_Spots
What causes rollover accidents?,"If a driver loses control of his vehicle, it may slip and start rolling, this is called rollover. This happens due to driving at high speed, hence one should drive within the prescribed speed limit only. This is also extremely dangerous for vehicles passing nearby",Causes_of_Rollover_Accidents
What are jack-knife accidents?,"This happens with the truck and trailer, in jack-knifing a truck makes a 90 degree angle with its trailer due to applying brakes very quickly and suddenly and slips into the other lane causing many accidents. Therefore, the driver should slow down the speed of his vehicle before applying brakes",Understanding_Jack-Knife_Accidents
What and how do squeeze-play accidents happen and how can they be avoided?,"The truck trailer driver has to stay slightly left to get enough space before turning right. If a driver is not careful before turning right, the driver behind may confuse the truck with going into the left lane and may try to pass on the right, causing his vehicle to cross in front of the truck. Gets stuck in the rear center and crashes. Therefore, before turning right, the driver must give a signal from an indicator or hand from a sufficient distance",Squeeze-Play_Accidents_Explanation_and_Prevention
What does it mean when the cabin tilt warning indicator comes on on your truck trailer's dashboard?,"If this signal appears on your vehicle's dashboard, it means that the connection of your truck cabin to the trailer is not in good condition. Always check the connection of your truck cabin locks with the trailer before starting the engine",Meaning_of_Cabin_Tilt_Warning_Indicator
What does the oil pressure warning indicator on the vehicle dashboard indicate?,This warning sign usually indicates that there may be a problem with your vehicle's oil pressure system,Meaning_of_Oil_Pressure_Warning_Indicator
What does the tire pressure warning indicator mean?,A tire warning sign on your vehicle's dashboard means that the air pressure in your tires is either too high or too low,Meaning_of_Tire_Pressure_Warning_Indicator
What does the engine temperature warning light indicate?,This dashboard warning sign indicates that your engine is overheating and needs servicing. This should be taken care of on priority,Meaning_of_Engine_Temperature_Warning_Light
What does the anti-lock brake warning indicator warn about?,"If this light appears on the vehicle's dashboard, it is a cause for concern, as this light indicates that the anti-lock brake system is not functioning properly",Meaning_of_Anti-Lock_Brake_Warning_Indicator
Why should traveling in hilly areas start early in the morning?,"The main reason why morning travel is recommended is the narrow uneven roads in hilly areas and foggy environment at night, which leads to accidents in low light",Importance_of_Early_Morning_Travel_in_Hilly_Areas
What precautions should be taken while driving on slopes?,"Always drive slowly on slopes. When the vehicle descends a slope, its speed naturally increases and it becomes almost impossible to control it, so use low-gear on the slope",Precautions_for_Driving_on_Slopes
What is a tailgate?,Driving without maintaining a safe distance between the vehicle ahead of you is called tailgating,Tailgating
Why shouldn't tailgating be done?,"Always remember that you need space to slow down and stop your vehicle. For this, it is always safe to have enough space between two vehicles",Reasons_to_Avoid_Tailgating
When should the vehicle's hazard light/emergency light be switched on?,"If you are driving below the posted speed limit or in bad weather, you must keep your vehicle's hazard lights on",Correct_Usage_of_Hazard_Lights_Emergency_Lights
What are blind-curves?,Such turns on the road where the vehicle coming from the front is not clearly visible,Understanding_Blind-Curves
Is it okay to overtake on blind-curves?,"Overtaking on blind-curves can be fatal. Before overtaking at such a turn, ensure that you have adequate visibility and a wide enough road for overtaking",Guidelines_for_Overtaking_on_Blind-Curves
What is a hydroplane?,The swaying of the vehicle due to the flow of water accumulated on the road during the rainy season is called hydroplane,Understanding_Hydroplane
What would be the appropriate thing to do in case of hydroplane?,"If the vehicle has started hydroplaning in water accumulated on the road, then in this situation you should avoid turning or applying brakes because in this situation the vehicle may slip or overturn",Handling_Hydroplane_Situation_Guidelines
What precautions should be taken while driving in the rain?,"In case of fog, one should keep cleaning the windshield with a cotton cloth, maintain proper distance from the vehicle moving ahead of it, follow it, use the middle lane as far as possible, do not move the vehicle from the place where much water has accumulated. . If this is not done, there is a possibility of an accident",Driving_Precautions_in_Rain
Should the vehicle have a fire extinguisher?,It is mandatory to have a fully loaded fire extinguisher in the vehicle. This protects you from emergencies like fire,Importance_of_Having_a_Fire_Extinguisher_in_a_Vehicle
Which method of using fire extinguisher should be followed to extinguish the fire?,"To extinguish a fire, remember and follow the PASS method of using a fire extinguisher: Pull the Pin, Aim at the Fire, Squeeze the Trigger, and Spray at the Fire. Do it",Proper_Use_of_Fire_Extinguisher_for_Different_Fires
How to extinguish a vehicle fire if the fire extinguisher is not working?,"If your fire extinguisher is empty or not working for some reason, use soil or sand available nearby to extinguish the fire in the vehicle",Dealing_with_Vehicle_Fire_Without_a_Working_Extinguisher
What precautions should be taken in case of vehicle fire?,"If possible, take the vehicle off the road and into an open area. Park away from buildings, trees, vehicles, or any other material that could catch fire. If the fire starts in the engine, stop the engine as soon as possible. If your vehicle is commercial and you can safely do so, disconnect the trailer from the truck",Precautions_in_Case_of_Vehicle_Fire
What is Post-traumatic Stress Disorder (PTSD)?,"Post-traumatic stress disorder (PTSD) occurs in individuals who experience a traumatic event, such as a natural disaster, serious accident, terroristic event, war/combat, rape, or threat of death, sexual violence, etc. may be for a long time",Understanding_Post-traumatic_Stress_Disorder_(PTSD)
How many adults in the world are affected by Post-traumatic Stress Disorder (PTSD) every year?,"According to Forbes Advisor, January 27, 2023, this condition affects an estimated 3.5 million adults worldwide annually",Global_Impact_of_Post-traumatic_Stress_Disorder_(PTSD)
What are the psychological symptoms and effects of post-traumatic stress disorder (PTSD)?,"Post-traumatic stress disorder (PTSD) symptoms â€“ thinking about the accident, nightmares about the accident, sleeplessness, emotional instability due to the accident, fear of separation from loved ones, difficulty concentrating, easy Feeling startled or frightened, sudden anger, frequent mood swings, severe anxiety, depression, feeling of hopelessness, suicidal thoughts, fear of driving",Psychological_Symptoms_of_Post-traumatic_Stress_Disorder_(PTSD)
What kinds of psychological effects occur in children who survive serious accidents?,"Children who survive serious accidents are vulnerable to psychological injuries that can cause permanent damage to their developing brain that harms the child's current life as well as his or her future. A child victim after a serious accident may experience a variety of long-term emotional trauma and related symptoms, from PTSD to phobias",Psychological_Effects_on_Children_After_Accidents
What are the symptoms of PTSD in children?,"The main symptoms of PTSD in children are excessive and unprovoked anger, tantrums, aggression, frustration or irritation, trouble concentrating, sleep problems, loss of appetite, poor performance in school, and changes in behavior or personality",Symptoms_of_Post-traumatic_Stress_Disorder_(PTSD)_in_Children
Can a person also be affected by PTSD due to physical disability?,"Yes, when an accident causes long-term physical injury, the victim's quality and enjoyment of life is lost. The person suffering from this struggles indefinitely and is likely to be affected by PTSD",PTSD_Due_to_Physical_Disability
How to deal with emotional and emotional trauma after an accident?,"Take advice from a trusted friend or family member or a doctor, talk to them about what happened to you, do not feel guilty about the accident that happened, try to adapt yourself to the situation. Stay active and exercise. This will help in keeping you stress free. Keep yourself away from media coverage of the accident as much as possible",Dealing_with_Emotional_Trauma_After_an_Accident
What are the stages of recovery after emotional and emotional trauma caused by an accident?,The doctor's advice and instructions should be followed seriously. Consult a physical therapist. Physical therapy (PT) can be very beneficial in recovering from an accident. Limit rest and physical activity as per doctor's advice and live life with confidence,Stages_of_Recovery_After_Emotional_Trauma
What is National Handicapped Finance and Development Corporation (NHFDC)?,"National Handicapped Finance and Development Corporation (NHFDC) is a Government of India company. It functions to provide financial assistance to Persons with Disabilities (PwD) to undertake any activity that helps in the process of their empowerment./What are the major schemes being implemented by NHFDC?Being implemented by NHFDC Major Schemes, Divyangjan Swavalamban Yojana, Special Microfinance Scheme (VMY), NHFDC Swavalamban Kendra (NSK). For more information about NHFDC schemes, disabled people can also log on to NHFDC website www.nhfdc.nic.in",Understanding_NHFDC_and_Its_Role
What is Unique Disability ID Card?,"â€œUnique Disability ID Cardâ€ project is being implemented with the objective of issuing a unique identity card to every disabled person. This project will not only encourage transparency, efficiency and ease in providing government benefits to disabled persons but also uniformity Will ensure",Understanding_Unique_Disability_ID_Card
What are the benefits of Unique Disability ID Card?,"Persons with disabilities will not need to carry multiple documents, UDID card will be the only document of identity, verification of the person with disability to avail various benefits in future. The UDID card will help streamline the tracking of physical and financial progress of the beneficiary at all levels of implementation â€“ from village level to national level",Benefits_of_Unique_Disability_ID_Card
What precautions should be taken to avoid electric shock at home?,"Never touch open electrical wires. Rubber slippers are bad conductors of electricity and can be worn to stay safe. Everyone should know about the main electrical switch in the house, so that in case of an accident, it can be switched off in time. Can go",Precautions_to_Avoid_Electric_Shock_at_Home
"What are those things which should not be done while using electricity, otherwise it can be fatal?","Do not provide excessive load in a single socket because there is a risk of fire due to excessive load in the socket. Therefore, give as little load as possible on the socket. Do not switch on and off with wet hands. This can be fatal. If you are trying to repair an electrical switch or appliance yourself, it is very important to wear rubber slippers. Do not dry clothes on electrical wires. Or hanging any other item should also be avoided. Doing this is like directly embracing death",Avoiding_Fatal_Mistakes_with_Electricity
What is the effect of electric current on the heart?,"The heartbeat is driven by electrical impulses present in the heart. When current passes through the heart, the heartbeat gets disturbed. This can impair the heart's pumping ability. Due to excessive current, the heart can stop working, due to which the person becomes unconscious. If immediate treatment is not done, the person can even die",Effect_of_Electric_Current_on_the_Heart
What is the effect of electric current on the nervous system?,"Due to the effect on the nervous system due to electric current, there may be pain, tingling, weakness or difficulty in moving the limbs, there may also be effects like difficulty in breathing. Some people may also suffer from mental illness due to this",Effect_of_Electric_Current_on_the_Nervous_System
What are the harms to the body due to electric shock?,"Due to electric shock, a person can get burnt, the body can become paralyzed, heart rate can stop, blood flow to the brain can be disrupted, due to which unconsciousness or breathing can stop",Harms_to_the_Body_Due_to_Electric_Shock
Why should RCCB or ELCB be used in homes?,"In today's context, it is very important to use RCCB (Residual Current Circuit Breaker) or ELCB (Earth-Leakage Circuit Breaker) to protect from electric shock. If there is electrical leakage in the house, then this circuit breaker breaks the circuit of current. Which can prevent electric shocks",Importance_of_RCCB_or_ELCB_in_Homes
How to help a person suffering from electric shock?,"Before you go ahead to help, make sure that there are nothing nearby that may have live current. In case someone gets electrocuted, immediately turn off the power supply. If you are unable to turn off the power supply, try to isolate it with a wooden or plastic object. After separating the person, lay him down in a 90 degree recovery position. In this position, the person lies on one side and has one hand below the head and the other forward and one leg is straight and the other is bent. In this situation, it will be easier for him to breathe. If the person is breathing and is slightly burnt, then pour water on him until the internal burning subsides. Give CPR as necessary",First_Aid_for_Electric_Shock_Victim
Do the effects of electric shock last long?,"Some electric shocks have long-term effects on health, such as severe burns that leave permanent scars on the body. If the electric shock passes through the eyes, cataracts may occur. Some electric shocks may cause pain, tingling, numbness, or muscle weakness",Duration_of_Effects_of_Electric_Shock
What are the dangers of using electrical equipment carelessly?,"Electric shock, spark, burning, explosion, blast, fire etc. can occur due to careless use of electrical appliances",Dangers_of_Using_Electrical_Equipment_Carelessly
What are the precautions to be taken while working on any electrical machine/equipment?,"Always wear rubber gloves, helmet, safety belt, insulated shoes and use only insulated tools",Precaution_While_Electrical_Tools
What should an electrician keep in mind while working?,"If an electrician goes to work anywhere, he should have permission to work. The work should be done after switching off the power supply. There should be safety shoes, hand gloves, helmet. The equipment used should be electric shock proof. Loose clothes. Do not wear rings or watches. Do not take any kind of intoxicant before doing electrical work. Earthing should be connected before working on any big appliance. Body and clothes should not get wet while doing electrical work. The place where work is to be done should be clean, there is a fear of slipping due to things like oil or grease",Electrian_Keep_In_Mind
What precautions should be taken at home to protect against electric current?,The wiring of the house should be according to the load of the equipment being used. Wire size should be according to the load of the equipment. There should be proper earthing in the house for safety. Earthing wire should be connected to every appliance. One should not touch any electric appliance or switch with wet hands. There should not be loose joints in the wiring of the house. Be sure to use safety switches like ELCB and RCCB (Residual Current Circuit Breaker,Home_Safety_Measures_to_Prevent_Electric_Current
What can be the causes of brain stroke?,"These are stress, increasing age, bad lifestyle, smoking, high blood pressure, drug addiction, lack of exercise, obesity etc",Causes_of_Brain_Stroke
How can brain stroke be identified?,"The process of brain stroke can be understood FAST: - Face (F): The mouth becomes slant. Arm (A): Suddenly one or both the hands become lifeless. Speech (S): The tongue starts wavering or completely Loss of voice. Time (T): If this happens, call an ambulance and immediately reach the nearby hospital so that quick treatment can be possible. Time is very important in this situation",Identifying_Symptoms_of_Brain_Stroke
When does brain stroke happen?,"A brain stroke occurs when there is a problem with blood flow to any part of your brain, such as a blocked blood vessel or internal bleeding in your brain. Stroke can be life-threatening, so getting medical help within 4 hours must be possible to prevent permanent damage or death",Occurrence_of_Brain_Stroke
How many types of brain stroke are there?,"Stroke can occur in two main ways: ischemic and hemorrhagic. Ischemic stroke occurs when cells do not receive enough blood flow to supply oxygen. This usually happens because for some reason a blockage occurs in the blood vessels of the brain and stops the blood flow. Ischemic strokes are the most common and account for about 80% of all strokes. Hemorrhagic strokes cause bleeding in or around your brain. This happens when a blood vessel inside your brain bursts or bursts open, causing bleeding and putting pressure on brain tissue",Types_of_Brain_Stroke
What are the symptoms of brain stroke?,"Stroke symptoms may include one or more of the following: one-sided weakness or paralysis, difficulty speaking, slurred speech, loss of muscle control on one side of your face, loss of one or more senses (sight, hearing, smell, sudden partial or complete loss of taste and touch), blurred or double vision, dizziness, nausea, vomiting, stiff neck, emotional instability and personality changes, confusion or agitation, amnesia, headache (usually sudden and severe , to pass away",Symptoms_of_Brain_Stroke
What is Mini Stroke or Transient Ischemic Attack (TIA)?,"These are often warning signs that a person is at very high risk of having a stroke in the near future. For this reason, a person suffering from a TIA should seek immediate advice from a newly created brain stroke unit as soon as possible",Understanding_Mini_Stroke_or_TIA
What can be the penalty for not giving way to an ambulance?,"There is a provision of a fine of Rs 10,000 or 6 months in jail under Section 194E for not giving way to an ambulance",Penalty_for_Not_Giving_Way_to_an_Ambulance
Is it mandatory for ambulances to follow traffic rules?,"If the patient's life is not in danger, it is mandatory for the ambulance to follow traffic rules and stop at red lights",Traffic_Rule_Adherence_for_Ambulances
How many types of ambulance are there?,"There are four types of ambulances, Basic Life Support (BLS) Ambulances, Advanced Life Support (ALS) Ambulances, Mobile Intensive Care Unit (MICU) Ambulances, Air Ambulance",Types_of_Ambulances
What should we do when we hear the ambulance siren?,"As soon as we hear the siren of the ambulance, the driver should slow down the speed of the vehicle and start moving to the right side of the road and let it pass so that the left i.e. the last lane will be free. This is the simplest and safest way to give way to the ambulance",Responding_to_Ambulance_Sirens
What is slip lane road?,Slip lane road is a short road to enter or exit a highway,Understanding_Slip_Lane_Road
What is service lane road?,"Service lane is a road that runs parallel to the main (busy) road, facilitating minimal interference with fast-moving traffic on the main road. It also provides facilities like parking and direction changing",Understanding_Service_Lane_Road
What is the correct way to use road lanes?,"The left-hand vehicle lane is generally reserved for vehicles such as trucks, buses and slow-moving vehicles. The middle lane is for regular traffic, and the right lane is mainly for overtaking. However, the driver who is expected to follow lane discipline and move back to the middle lane after overtaking to streamline the traffic does not happen and this becomes an alarm bell. Being careful when changing lanes and using signals will keep everyone safe",Correct_Use_of_Road_Lanes
What is triage?,"When the number of accident victims is large, sorting the injured among them considering the severity of their injuries is called triage. By sorting in this way, a large number of seriously injured people's lives can be saved",Understanding_Triage
What is the Good Samaritan Law?,"As per the directions of the Honorable Supreme Court on January 21, 2016, the Good Samaritan Law (helper) is in favor of the people who save the life of the injured in a road accident, under which no questions will be asked if the helper takes the injured person lying on the road to the nearest hospital. .It is not necessary to reveal identity when reporting an accident. No police officer can compel the helper to become a witness in case of an accident. If you choose to become a witness, the police officer in plain clothes will come to your home and Will interrogate you. You are not liable for civil or criminal liability for rendering help. It is not necessary to stop or reveal your identity after taking the injured person to the hospital. After taking the injured person to the hospital in a road accident, the doctor will provide immediate treatment - saving life is the priority. If the injured person is not your relative, it is not your responsibility to pay for the hospital",Understanding_Good_Samaritan_Law
How many types of road signs are there,"These are of three types â€“ Prescriptive signs are circular, Informational signs are rectangular, Warning signs are triangular",Types_of_Road_Signs
What is the shape of caution traffic sign?,These signs are triangular or triangular in shape and are also called warning signs,Shapes_of_Caution_Signs
What should you do if you are at the scene of an accident?,We should immediately inform the police and ambulance. The injured should be immediately given first aid and taken to a nearby hospital,Actions_at_the_Scene_of_an_Accident
What happens if you do not switch off the engine while standing at a traffic light?,"Not switching off the engine at traffic lights increases fuel consumption and increases air pollution, which is a serious problem today",Engine_Shutdown_Guidelines_at_Traffic_Light
How should one overtake a vehicle moving ahead?,"To overtake a vehicle moving ahead, always do it from the right side but ensure that there is enough space for the vehicle to pass",Guidelines_for_Overtaking_a_Vehicle_Moving_Ahead
Which gas is used in fire extinguisher?,Mainly CO2 'carbon dioxide' gas is used in fire fighting equipment,Type_of_Gas_Used_in_Fire_Extinguisher
CO2 'Carbon Dioxide' extinguisher cylinders are used to extinguish which type of fire?,"Extinguisher cylinders containing CO2 'carbon dioxide' are used to extinguish flammable liquids such as gasoline, petroleum grease, tar, oil and butane",CO2_Extinguisher_Suitable_for_Which_Type_of_Fire
Which color label or strip on a fire extinguisher indicates the CO2 'carbon dioxide' extinguisher cylinder?,CO2 'carbon dioxide' extinguisher cylinders have a black label or strip on the top and are easily identified due to the distinctive shape of the discharge pipe,Color_Indicating_CO2_Extinguisher
What is the permissible limit of Blood Alcohol Concentration (BAC) for light vehicle drivers?,"The permissible limit is 0.05 Blood Alcohol Concentration (BAC), if it is more than this then under Section 185 of the Motor Vehicles Act, driving while intoxicated will result in imprisonment of up to six months, a fine of â‚¹ 10,000/- or both and for the second time. If caught, there is a provision of imprisonment up to two years and a fine of â‚¹ 15,000/- or both. Which safety device fitted in a light motor vehicle protects the driver from injury",BAC_Limit_for_Light_Vehicle_Drivers
What do the triangle shaped road signs indicate?,They warn about obstacles in the way,
What is the maximum speed of a motorcycle in cities?,"In urban areas, the speed limit for motorcycles is 40 km/h",Maximum_Speed_Limit_for_Motorcycles_in_Cities
What is the main cause of deaths in road accidents in India?,Most of the deaths in accidents in India are due to over speeding,Main_Cause_of_Deaths_in_Road_Accidents
"When driving a car on an expressway, which lane should one normally use?",middle lane,Lane_Choice_on_Expressways
What are the emergency vehicles?,"Ambulance, Fire-Brigade, Police Van What are the main causes of road accidents? Answer: Not paying attention to the traffic signs on the road. Not using underground and footpaths by pedestrians. Listening to the radio, talking on mobile phone while driving. Not using the front and left side mirrors of the vehicle. Driving before attaining adulthood. Driving at high speed. Not taking proper care of the vehicle. Overloading the vehicle. Driving under the influence of alcohol",Emergency_Vehicles
What should be done if the driving license is lost? Answer,Get an FIR lodged against the lost license as soon as possible. Apply for a new license by filling the LLD form,Lost_DrivingLicense
How is a signal given to other vehicles to reduce speed while driving?,Take your right hand out and move it up and down with the palm facing down,Signaling_to_Reduce_Speed
"If you are traveling in a bus and there is a fire in the bus, what will you tell your bus driver to do?",The bus driver will be asked to stop and switch off the engine so that the passengers can be disembarked safely and the fire will be controlled using fire extinguishers and water,Emergency_Response_to_Bus_Fire
After how many kilometers of journey should the filter gauge of the vehicle be cleaned?,The filter gauge of the vehicle must be cleaned after 9000 km,Vehicle_Filter_Maintenance_Guidelines
"What can be the meaning of only ""red light"" on some roads?",There is no road ahead or traffic is completely restricted due to overcrowding or some work is going on on the road,Only_Red_Light
What does it mean when the traffic police keeps his right hand down and extends his left hand to shoulder level?,The traffic police is signaling the traffic coming from behind to stop,Traffic_Police_Hand_Signals_Explanation
"What is ""Highway Hypnosis""?","Feeling sleepy and losing attention from the road due to long distance driving on the highway is called ""highway hypnosis",Highway_Hypnosis
What is organ donation?,Donating body parts by a living or dead person is called organ donation,Organ_Donation_Process_Explanation
Which organs can be donated?,"Heart, intestines, kidneys, liver, lungs, pancreas, eyes, heart valves, blood vessels, skin etc. can be donated",Eligible_Organs_for_Donation
Who cannot donate organs?,"People who are suffering from cancer, hepatitis, HIV or STD infection cannot donate organs",Restrictions_on_Organ_Donation
What is the process of organ donation?,"When a patient is declared brain-dead or clinically dead, the patient will remain on ventilation until all appropriate steps or necessary authorizations are completed to retrieve the organs. With the provision of supportive measures such as ventilation, intravenous fluids and oxygen the organs of the deceased person may continue to function for 36 to 72 hours after death. Once organs are removed, they must be transplanted as soon as possible",Organ_Donation
What is the time limit for organ donation after death?,Timelines for transplant vary depending on the donated organ. Such as Kidneys: up to half an hourHeart and lungs: 4 - 6 hoursIntestines: 6 hoursPancreas: 6 hoursLiver: 6-12 hoursEyes: 4 - 6 hours,Organ_Donation_Time_Constraints
What rights does an ambulance have to ply on the road?,Ambulances should be given priority to run on the road. It is necessary to make way for the ambulance which has red blue flashing lights and siren. Keep the service lane clear to give way,Ambulance_Road_Rights
Can an ambulance break traffic rules in India?,"Ambulances are given some relaxation in traffic rules to ensure timely medical assistance. However, these exemptions come with responsibilities to maintain public safety. They are allowed to do things like speed limit, crossing red signals but only when it is mandatory to do so",Ambulance_Traffic_Rule_Exception
What is heart attack?,"The heart needs a steady flow of oxygenated blood to function properly. Blockage in any one of the blood vessels that supply blood to the heart causes a heart attack. When a heart artery becomes blocked during a heart attack, resulting in damage to the heart muscle, and is not treated promptly to restore blood flow, the heart can be permanently damaged",Understanding_Heart_Attacks_and_Causes
What causes a heart attack?,"Plaques form in the arteries that supply blood to the heart due to accumulation of fat, cholesterol, and other chemical substances. These cannot clog blood vessels, but these plaques are more likely to form blood clots, which can clog the blood vessels. Can cause obstruction in flow",Heart_Attack_Cause
What are the symptoms of heart attack?,"Symptoms of heart attack: Unbearable pain on the left side of the chest, radiating towards the left arm or back, difficulty in breathing, sweating and vomiting, darkness before the eyes, feeling of death",Recognizing_Symptoms_of_Heart_Attack
What is cardiac arrest?,Cardiac arrest is a medical emergency. In this the heart suddenly stops beating. This stops the blood supply to the brain and other vital organs of the body,Understanding_Cardiac_Arrest_and_Causes
What causes cardiac arrest?,Cardiac arrest occurs due to electrical abnormalities of the heart. Sudden death often occurs from cardiac arrest,Heart_Attack_Cause
What are the symptoms of cardiac arrest?,"Sometimes cardiac arrest occurs without any symptoms. If a person has some symptoms like chest pain, suddenly falling unconscious, difficulty in breathing, feeling tired, dizziness, nausea, absence of heartbeat, then cardiac arrest can occur",Recognizing_Symptoms_of_Cardiac_Arrest
How is cardiac arrest different from heart attack?,"In cardiac arrest, the heart suddenly stops beating. In a heart attack, blood circulates inside the heart but it is not able to reach the rest of the body. Cardiac arrest occurs due to electrical abnormality of the heart. Heart Attack occurs due to lack of proper blood flow due to blockage in the body",Distinguishing_Cardiac_Arrest_and_Heart_Attack
"If what treatment is given in cardiac arrest, life can be saved","Time plays the most important role in cardiac arrest. In case of emergency, it is necessary to give Defibrillation in which electric shock is given by the AED device. CPR should also be given after defibrillation",Life-Saving_Treatment_for_Cardiac_Arrest
What is heart failure?,Heart failure is a condition in which the heart is not able to deliver adequate amounts of blood to other parts of the body. In this condition the pumping speed of the heart decreases,Understanding_Heart_Failure_and_Causes
What are the reasons for heart failure?,"Heart failure can have many causes, including: Coronary heart diseaseIrregular heartbeatInflammationHypertensionGradually reduced or blocked blood supplyWeakened heart muscleObesityDiabetesSmokingJunk foodSedentary lifestyle",Heart_Failure_Reasons
How can heart failure be avoided?,"Lifestyle changes along with medicines are necessary in the treatment of heart failure. Lifestyle changes include reducing salt intake, getting regular exercise, quitting smoking, and avoiding alcohol",Preventive_Measures_for_Heart_Failure
What is AED?,"AED stands for ""Automated External Defibrillator"". An AED is a lightweight battery-powered portable electronic device that checks the heart's rhythm and delivers an electric shock to the heart to restore the normal rhythm. It is a lightweight and portable device and is available without prescription",Understanding_Automated_External_Defibrillator_(AED)
What is the first golden hour?,"The first hour after an accident is called the first golden hour. If medical aid is given to a seriously injured person within an hour, the chances of the victim's survival increase",Significance_of_the_First_Golden_Hour
How long is the golden hour after a heart attack?,"After a heart attack, the heart muscle begins to die within an hour to 90 minutes. After six hours, various parts of the heart can be seriously damaged, so the patient's life can be saved by getting the patient to the hospital as soon as possible",Duration_of_the_Golden_Hour_After_Heart_Attack
What is lightning?,"Lightning falling from the sky with thunder is called lightning. During this, we hear loud noises and see light like lightning sparking. It has a current of 10000 amps with 100 million volts",Lightning
Can a mobile phone attract lightning?,If you are present at a place where lightning is flashing then the electromagnetic field of the mobile phone will attract the lightning towards itself. In such a situation the electrical waves will enter the mobile and cause an explosion. Therefore do not use mobile phone in such a situation,Mobile_Phones_and_Lightning_Risk
How many types of lightning are there?,"Answer: There are three types of lightning: Intra-Cloud, Cloud to Cloud, Cloud to Ground. These include intra-cloud and cloud. Two clouds are only visible but harmless. Cloud to ground lightning is harmful as it contains high electrical charge and electrical current",Different_Types_of_Lightning
What would be appropriate to do to protect yourself from lightning?,"To avoid lightning, these steps can be taken: The best way to protect yourself from lightning is to take shelter in a safe, closed place. Do not go near fields, open fields, trees or any tall pole during rain. If lightning strikes or starts appearing, immediately hide inside a small building nearby, during this time do not use any gadget or electronic item, do not use mobile phone, do not touch window glass, tin roof, wet items and iron. Stay away from the handles, avoid contact with metal objects (yard tools, motorcycles, bicycles, etc.), do not stand under tall trees, stand individually rather than in a group, after a lightning strike at least Stay inside for at least 30 minutes",Safety_Measures_Against_Lightning
What to do if you are in a vehicle during lightning?,"If you are in a vehicle then you are safe because the tires of the vehicle are made of rubber and it is a poor conductor of electricity, in this situation you should stay inside the vehicle only",Vehicle_Safety_During_Lightning_Storms
Can lightning strike be known in advance?,"If there is lightning and the hair on your head stands up and your skin begins to wrinkle, then immediately bend down and close your ears. This is a sign that there is a possibility of lightning falling around you",Predicting_Lightning_Strikes
What are the measures to protect tall buildings from lightning?,"To protect tall buildings from lightning, lightning conductors are installed on buildings, the lightning conductor is a metal rod. It does not allow charge to accumulate on a building, it transfers all the charge to the earth. With this the building can be protected from lightning strikes. To protect buildings from lightning strikes, the flow of lightning is directed from the highest point of the building down to the ground through lightning rods and lightning protection systems",Safeguarding_Tall_Buildings_Against_Lightning
What is earthquake?,Earthquake is the shaking of the earth's surface. This happens due to the waves generated due to the sudden release of energy in the uppermost surface of the Earth (lithosphere,Understanding_Earthquakes
What precautions should be taken if you live in an earthquake affected area?,"If you live in an earthquake-prone area, these precautions should be taken: Repair cracks in the roof and foundation. Follow the prescribed standards of building construction. Tighten the shelves firmly on the wall. Keep large or heavy items on the bottom shelves. Keep heavy items like pictures and mirrors away from beds, sofas and anywhere people sit. Fit the fan and overhead light properly with the help of nuts and bolts. Get damaged electrical wires and leaking gas connections repaired. Secure water heaters, LPG cylinders etc. tightly to the wall. Keep pesticides and flammable materials in the bottom shelf of the cabinet. Find safe places inside and outside the house. Remember emergency telephone numbers (such as doctor, hospital, and police",Earthquake_Precautions
What should be included in an emergency kit in case of an earthquake?,"An earthquake emergency kit must contain the following items: torch with spare batteries, battery-operated radio, first aid kit, dry food items and drinking water, candles and matches in waterproof containers, knife, chlorine tablets, Can opener, emergency medicine, cash and credit cards, thick rope and cord",Earthquake_Emergency_Kit_Contents
